Telugu_sentence,English_sentence,source
"28. పావ్‌లోవ్‌ ప్రయోగాన్ని ప్రతిబింబించేలా ఒక కార్టూన్‌ని గీసి, దానికి సరిపోయేలా ఒక నినాదాన్ని రాయండి. (AS6) @®",28. Draw a cartoon depicting Pavlov's experiment and write a slogan to go with it. (AS6) @®,tides
29. విసిరే యంత్రమైన జీర్ణాశయాన్ని మీరు ఎలా అభినందిస్తారు? ఈ ప్రక్రియ ఎలా సమన్వయం చేయబడుతుంది. (AS6),"29. How do you appreciate the digestive system, a throwing machine? How is this process coordinated? (AS6)",ted
30. ఎంతో వైవిధ్యంతో కూడిన జీవ (ప్రక్రియలను గురించిన మీ భావాలతో ఒక కవితను రాయండి. (457),30. Write a poem with your feelings about life's (processes of) great variety. (457),ted
"31. (ప్రస్తుత పాఠ్యాంశాన్ని దృష్టిలో పెట్టుకొని, ఆహారం తీసుకొనే సమయంలో అలవాటు చేసుకోవాల్సిన ఏ రెండు అంశాలను గురించి మీ మిత్రునికి సలహా ఇస్తారు? (AST)","31. (Keeping in view the present lesson, what two things would you advise your friend to practice while eating? (AST)",tides
తింది ఖాతీలను పూరించండి,Fill in the following fields,ted
1. మన దంతాల అమరిక నిష్పత్తి 3:2:1:2 అయితే దీనిలో 1 దేనిని సూచిస్తుందంటే,1. Our teeth alignment ratio is 3:2:1:2 in which what does 1 stand for?,tides
2. మాంసకృత్తుల దీర్ధ శృంఖలాలు జీర్ణవ్యవస్థ ' భాగంలో విచ్చిన్నం చేయబడతాయి.,2. Long chains of proteins are broken down in the digestive system.,indic2012
3. జీర్ణక్రియంలో ప్రవించబడే బలమైన ఆమం,3. A strong ama that is absorbed in digestion,ted
4 లో ఉండే క్రాణ(గ్రాహికలు మెదడుకు సమాచారాన్ని చేరవేస్తాయి.,The kraana (receptors) in 4 carry information to the brain.,tides
5. లాలాజలం యొక్క pH స్వభావం 6. కింది పేరా చదవండి.,5. pH nature of saliva 6. Read the following paragraph.,indic2012
సరైన పదాలతో ఖాళీలు పూరించండి.,Fill in the blanks with the correct words.,tides
హార్మోన్‌ స్థాయిలో హెచ్చుతగ్గుల ఫలితంగా ఆకలిలో భేదాలు మరియు ఆహార పదార్థాల వినియోగం ఆధారపడి ఉంటాయి.,Fluctuations in hormone levels result in differences in appetite and food intake.,tides
జీర్ణాశయం నిండి ఉన్న భావన ఉంటే మరి ఆహారం తీసుకోవాలని అనిపించదు.,"If the stomach feels full, it does not feel like taking food.",ted
మరొక హార్మోన్‌. - (స్రవించబడితే ఆకలిని తగ్గించివేస్తుంది.,Another hormone. - (Suppresses appetite if secreted.,tides
మనం ఆహారాన్ని తీసుకొన్నప్పుడు నోటిలో చక్కగా నమలటం జరుగుతుంది.,"When we take food, we chew it well in our mouth.",ted
దీనికొరకు PE కండరాలు నమిలే ప్రక్రియకు తోడ్పడుతాయి.,For this the PE muscles assist in the process of chewing.,indic2012
"అయితే eo దవడల కండరాలు, దవడలు పైకి, కిందకు ముందుకు, EEE ౦).","But eo jaw muscles, jaws up, down forward, EEE 0).",tides
వెనకకు కదలడానికి లేదా నమలడానికి (entric nervous system) తోడ్పడతాయి.,Aids in moving backward or chewing (enteric nervous system).,indic2012
నాడులు దవడల కండరాల కదలికలను నియంత్రిస్తాయి.,Nerves control the movements of the jaw muscles.,tides
"నాడీవ్యవస్థ కారణంగా లాలాజలం ఉత్పత్తికావటం, లాలాజలంతో ఆహారాన్ని ( ® =","Production of saliva due to nervous system, food with saliva ( ® =",indic2012
"కలపటం, నమలడం మరియు సులువుగా మింగడం జరుగుతాయి.","Mixing, chewing and swallowing are easy.",indic2012
లాలాజలంలోని _ eee పిండిపదార్థాలను చక్కెరలుగా మార్చును.,_ eee in saliva converts carbohydrates into sugars.,ted
దాని ఫలితంగా ఆహారాన్ని నమటలడం మరియు మింగడం వలన ఆహారవాహిక చేరటం © మరియు వలన నియంత్రించబడతాయి.,"As a result, chewing and swallowing of food is controlled by the filling of the alimentary canal.",indic2012
నాలుక రుచిగ్రాహకం కనుక HAS గ్రహించుటలో నాడి ముఖ్యమైనది.,"Since the tongue is a taste receptor, the nerve is important in sensing HAS.",tides
"లెఫ్టిన్‌, HO], RS, సిక్రిటిన్‌ BOS, లెఫ్టిన్‌, సెక్రిటిన్‌, MRS","LEFTIN, HO], RS, SECRETIN BOS, LEFTIN, SECRETIN, MRS",ted
"అంతర్గత కండరాలు ఉపరితల కండరాలు, వలయ కండరాలు, నిలువు కండరాలు","Intrinsic muscles are superficial muscles, circular muscles, vertical muscles",tides
"ఉపరితల కండరాలు, అంతర్గత కండరాలు, మెడ కండరాలు, పొడవైన కండరాలు","Superficial muscles, intrinsic muscles, neck muscles, long muscles",indic2012
"5% కపాల నాడి, 2వ కపాల నాడి, 5వ ముఖ నాడి, వెన్ను నాడి","5% cranial nerve, 2nd cranial nerve, 5th facial nerve, spinal nerve",indic2012
"కేంద్రనాడీ వ్యవస్థ, ఉపరితల నాడీవ్యవస్థ, స్వతంత్ర నాడీ వ్యవస్థ","Central nervous system, superficial nervous system, autonomic nervous system",tides
"లైపేజ్‌, సుక్రేజ్‌, గాలక్టేజ్‌, అమైలేజ్‌","Lipase, Sucrase, Galactase, Amylase",indic2012
"మెడుల్లా అబ్లాంగేటా, సెరిబ్రమ్‌, 8% వెన్చునాడీ, కపాల నాడీ, 7వ కపాల నాడీ","Medulla oblongata, cerebrum, 8% venthunadi, cranial nerve, 7th cranial nerve",ted
"మెదడు కాండం, మెడుల్లా అబ్లాంగేటా, మధ్యమెదడు","Brain stem, medulla oblongata, midbrain",tides
"10. 6వ కపాలనాడీ, 5వ కపాల నాడీ, 10వ కపాలనాడీ, దృక్‌నాడీ","10. 6th cranial nerve, 5th cranial nerve, 10th cranial nerve, optic nerve",indic2012
© ౨ Ne 1 ౨ wh,© 2 Ne 1 2 wh,tides
సరైన సమాధానాన్నిగుర్తించండి,Mark the correct answer,ted
1. కింది ఏ సందర్భంలో అతిత్వరగా రుచి చూడగలుగుతావు. ( ),1. In which of the following cases can you taste quickly? ( ),tides
(ఎ) నాలుకపై చక్కెర వేసుకొన్నపుడు (బి) నాలుకపై చక్కెర ద్రావణాన్ని పోసినపుడు,(a) When sugar is applied to the tongue (b) When sugar solution is applied to the tongue,ted
"(సి) నాలుకలో అంగిలి నొక్కిపట్టినపుడు (డి) నమలకుండా, కదపకుండా వెంటనే మంగినపుడు",(c) When the palate is pressed into the tongue (d) When swallowed immediately without chewing or moving,tides
2. పెరిస్టాలిసిస్‌ చలనం ఎందుకంటే ( ),2. Peristalsis is motion because ( ),tides
(ఎ) నిలువు కండరాల సంకోచం వలన (బి) వలయం కండరాల సంకోచం వలన,(a) Due to contraction of vertical muscles (b) Due to contraction of circular muscles,tides
(సి) అనియంత్రిత నాడీవ్యవస్థ నియంత్రణ వలన (ి) జీర్ణరసాల (ప్రభావం వలన,(c) Due to uncontrolled nervous system control (d) Due to influence of digestive juices,tides
"3. జీర్ణాశయం, ఆంత్రమూలంలోనికి తెరచుకునే చోట ఉండే సంవరిణీ కండరం ( )",3. The sphincter muscle ( ) where the stomach opens into the intestine,tides
(ఎ) కార్డియాక్‌ (బి) పైలోరిక్‌ (సి) ఆనల్‌ (డి) గాస్ట్రిక్‌,(a) Cardiac (b) Pyloric (c) Anal (d) Gastric,tides
4. ఆంత్రచూషకాలలోని ఏ భాగం ద్వారా గ్లూకోజ్‌ మరియు అమైనో ఆమ్లాల శోషణ జరుగును ( ),4. Absorption of glucose and amino acids takes place through which part of the intestinal tract ( ),indic2012
(ఎ) ఎపిథీలియల్‌ కణాలు (బి) రక్త కేశనాలళికలు (సి) శోషరస నాళాలు (డి) పైవన్నీ,(a) Epithelial cells (b) Blood capillaries (c) Lymphatic vessels (d) All of the above,indic2012
5. ఆకలి సూచనలకు నియంత్రించే మెదడులోని భాగం ( ),5. Part of the brain that controls hunger cues ( ),indic2012
(౨) మెడుల్లా (బి) డై ఎస్‌సెఫలాన్‌ (సి) సెరిబ్రమ్‌ (డి మధ్య మెదడు,(ii) Medulla (b) Die encephalon (c) Cerebrum (d) Mid brain,indic2012
6. మానవులు “అంతర్గత దహన యంత్రం” వంటివారు. ఎందుకంటే ( ),6. Humans are like “internal combustion engines”. because ( ),tides
"(ఎ) ఆహార పదార్థాలు జీర్ణమై శక్తి విడుదలవుతుంది (బి) శ్వాసక్రియ ద్వారా CO, వెలువరిస్తారు",(a) Energy is released when food is digested (b) CO is released through respiration,tides
(సి) జీర్ణక్రియ చివరి దశలో వ్యర్థాలను విసర్జిస్తారు (డి) శక్తివంతమైన జీర్ణరసాలను (స్రవిస్తాయి,(c) Excrete wastes in the last stage of digestion (d) Secrete powerful digestive juices,indic2012
మానవ జీర్ణక్రియలో మరిన్ని సత్యాల ఆవిష్కరణకు దారితీసిన చారిత్రాత్మక రుజువు,Historical evidence that led to the discovery of more truths in human digestion,ted
కడుపులో కిటికీ,A window in the stomach,ted
ఒకరోజు తెల్లవారుజామున మిషిగాన్‌ ద్వీపకల్పంలోని ఫోర్ట్‌ మాకినాక్‌లో నివసించే 19 సంవత్సరాల ఆలెక్స్‌ సెయింట్‌,"One morning, 19-year-old Alex St., who lives in Fort Mackinac on the Michigan peninsula,",indic2012
మార్టిన్‌ అనే సైనికుడికి ప్రమాదశాత్తు తుపాకి పేలి కడుపులో బుల్లెట్‌ గాయం అయింది.,A soldier named Martin received a bullet wound in the stomach when the gun accidentally went off.,indic2012
ఉదరభాగం గోడలను జీర్ణాశయాన్నీ తొలుచుకుంటూ పెద్ద గాయమైంది.,Abdominal wall and digestive tract were removed from the large wound.,tides
తీవ్రమైన రక్తస్రావం జరుగుతోంది.,Heavy bleeding is occurring.,tides
వెంటనే సైనిక వైద్యుడు డా॥ బీమాంట్‌ను చికిత్స కోసం పిలిపించారు.,Immediately military doctor Dr. Beamant was summoned for treatment.,indic2012
ఆయన గాయాన్ని శుభ్రపరిచి బయటకు వచ్చిన ఊపిరితిత్తులు మరియు జీర్ణాశయ భాగాలను లోపలికి నెట్టి గాయానికి కట్టుకట్టాడు.,He cleaned the wound and pushed in the protruding lung and digestive tract and bandaged the wound.,tides
మార్చిన్‌ బతకడం చాలా కష్టమని డాక్టర్‌ భావించాడు.,The doctor thought that it was very difficult for Marchin to survive.,indic2012
మరుసటి రోజు సెయింట్‌ మార్టిన్‌ జీవించి ఉండటాన్ని చూసి డా॥ వీమాంట్‌ ఆశ్చర్యపోయాడు.,"The next day, seeing Saint Martin alive, Dr. Weimont was surprised.",tides
"తనకున్న వైద్య పరిజ్ఞానం, నైపుణ్యాన్ని ఉపయోగించి గాయానికి చికిత్స చేస్తూ సాధ్యమైనంతవరకు అతని జీవితకాలాన్ని పెంచే ప్రయత్నం చేశాడు.",He used his medical knowledge and skill to treat the injury and try to prolong his life as much as possible.,indic2012
దాదాపు రెండు సంవత్సరాల చికిత్స అనంతరం గాయం పూర్తిగా మానింది.,"After nearly two years of treatment, the wound healed completely.",ted
కానీ అతని జీర్ణాశయం శరీర గోడలతో కలిసిపోవడం వలన ఒక పెద్ద రంధ్రం ఏర్పడింది.,"But his digestive tract fused with the body walls, creating a large hole.",ted
గాయాంలోని కొంత భాగం సహజ కవాటాన్ని పోలిన ఒక మూతలా ఏర్పడింది.,A portion of the wound forms a flap similar to a natural valve.,indic2012
దీని ద్వారా సెయింట్‌ మార్టిన్‌ జీర్ణాశయంలో జరిగే చర్యలను చూడగలిగాడు.,"Through this, St. Martin was able to see the actions of the digestive system.",indic2012
TI బీమాంట్‌ మార్టిన్‌ను ఎడమవైపుకు తిప్పి రంధ్రం గుండా ఐదారు అంగుళాల పొడవుగల గొట్టాన్ని కడుపులోకి పంపి జీర్ణరసాలను సేకరించాడు.,TI Beemont turned Martin to the left and passed a five-and-a-half-inch tube through the hole into the stomach to collect the digestive juices.,ted
దానిలోని అంశాలను గుర్తించే ప్రయత్నం చేశాడు.,He tried to identify the elements in it.,tides
ఆహారపదార్థానికి దారంకట్టి రంధ్రం గుండా జీర్ణాశయంలోకి వదిలేవాడు.,He attaches food to the food and passes it through the hole into the digestive tract.,tides
దాన్ని కొంతసేపు కడుపులోనే ఉంచి పాక్షికంగా జీర్ణం అయిన తరువాత దానిపై పరిశోధనలను చేసేవాడు.,"He would keep it in his stomach for some time and after partially digesting it, he would do research on it.",ted
ఇలా ఎన్నో ప్రయోగాలు చేసి జీర్ణక్రియకు సంబంధించి అనేక కొత్త విషయాలను కనుగొన్నాడు. ఫి,He did many experiments and discovered many new things related to digestion. F,ted
అప్పటివరకు జీర్ణాశయం గురించి మనం తిన్న ఆహారాన్ని ఉడికించి వేడిని కలిగిస్తుందనీ యంత్రంలాంటిదని పులియబెట్టె కుండలాంటిదనీ రకరకాలుగా భావించేవారు.,"Until then, the digestive system was thought of as a machine that cooks and heats the food we eat, or as a fermenting pot.",ted
డా! బీమాంట్‌ ప్రయోగాలు జీర్ణక్రియ గురించి అప్పటివరకు ఉ న్న అభిప్రాయాలన్నింటిని పటాపంచలు చేశాయి.,Dr. Beamant's experiments overturned all previously held views about digestion.,indic2012
1882వ సంవత్సరం జూన్‌ 16వ తేదీన ఆయన తన పరిశోధనల సారాంశాన్ని ప్రకటించాడు.,"On June 16, 1882, he published a summary of his findings.",ted
ఇది వైద్యరంగంలో నూతన పరిశోధనలకు నాంది పలికింది.,This marked the beginning of new researches in the field of medicine.,ted
డా! బీమాంట్‌ తన పరిశోధనలతో తెలుసుకున్న విషయాలు ఆ ఆహారం జీర్ణమపుతున్న సమయంలో జీర్ణాశయంలోని ఉష్ణోగ్రతలో ఎలాంటి మార్పు లేకుండా స్థిరంగా (100 ల్లీ/ 88” జ) ఉంటుంది.,Dr. Beamant found out from his research that the temperature of the digestive tract remained constant (100 L/88”H) during digestion.,tides
ఆ జఠర రసంలో నీరు కాకుండా అధిక పరిమాణంలో హైడ్రోక్లోరిక్‌ ఆమ్లం ఉంటుంది.,The gastric juice contains a large amount of hydrochloric acid instead of water.,ted
ఆత జఠరరసం జీర్ణాశయంలో నిలువ చేయబడదు.,The gastric juice is not retained in the digestive tract.,indic2012
ఆహారం జీర్ణాశయంలోకి చేరినపుడు మాత్రమే ప్రవిస్తుంది.,Food is digested only when it enters the digestive tract.,indic2012
ఆ ఆహారం జీర్ణాశయంలో చేరగానే జీర్ణక్రియ మొదలవుతుంది.,"Once the food enters the digestive tract, digestion begins.",tides
ఆ ఆహారం నోటిద్వారా తీసుకోకపోయినా జీర్ణాశయంలోకి ఆహారం చేరితో ఆకలి తీరుతుంది. (రంధ్రం ద్వారా ఆహారాన్ని లోపలికి పంపేవాడు.),"Even if the food is not taken orally, hunger is satisfied when the food enters the digestive tract. (One who passes food through a hole.)",indic2012
"వైద్యరంగంలో జీర్ణక్రియకు సంబంధించి కొత్త విషయాల మొట్టమొదటి ఆవిష్కరణలు అయినప్పటికీ wi బీమాంట్‌ (ప్రయోగాల ఫలితాలు, ఆకలి కావడానికి గల కారణమేమి?","Although the first discoveries of new things related to digestion in the field of medicine wi Bemont (results of experiments, What is the cause of hunger?",indic2012
జీర్ణనాళంలో జరిగే విషయాలు మెదడుకు ఎలా తెలుస్తుంది?,How does the brain know what is happening in the digestive tract?,indic2012
ఏ కారణంతో జీర్ణరసాలు (ప్రవించబడతాయి?,For what reason are digestive juices (flowed?,tides
ఆహారం జీర్ణరసాలతో కలిసే విధంగా ఏం సహాయపడుతుంది?,What helps food mix with digestive juices?,ted
జీర్ణప్రక్రియ స్వతహాగా జరుగుతుందా?,Is digestion spontaneous?,ted
"లేదా నాడీ, కండర వ్యవస్థలు వంటి ఇతర వ్యవస్థలు కూడా పాల్గొంటాయా?","Or are other systems involved, such as the nervous and muscular systems?",tides
లాంటి మరెన్నో కొత్త (ప్రశ్నలకు దారి తీసింది.,It led to many new questions like,indic2012
వైద్యరంగంలో నూతన పరిశోధనలకు దోహదపడింది.,Contributed to new researches in the field of medicine.,tides
ఆంధ్రప్రదేశ్‌ ప్రభుత్వం వారిచే ఉచిత పంపిణీ (175) |,Free distribution by Govt of Andhra Pradesh (175) |,tides
అనువంశికత,Inheritance,ted
మనచుట్టూ ఉన్న విశాల ప్రపంచాన్ని పరిశీలించినట్లయితే లెక్కించలేనన్ని జీవరాసులు కనిపిస్తాయి.,"If we look at the vast world around us, we will find countless living things.",ted
ఈ జీవరాశిలో రెండు విషయాలు మనల్ని అత్యంత ఆశ్యర్యానికి గురిచేస్తాయి.,There are two things that excite us most about this life.,indic2012
"ఒకవైపు ప్రాణికోటిలో ఉండే అద్భుతమైన వైవిధ్యం, పరిశీలించిచూస్తే మరోవైపు వాటిమధ్య ఉండే సారూప్యాలు చాలా చిత్రంగా అనిపిస్తాయి.","On the one hand, the amazing diversity of fauna, on the other hand, the similarities between them are striking.",tides
"జీవులు ఎలా పరిణామం చెందాయో అర్థం చేసుకోవాలంటే ఈ వైవిధ్యాలను, సారూప్యాలను అర్థం చేసుకోవాల్సి ఉంటుంది.",Understanding these differences and similarities is essential to understanding how organisms evolved.,tides
ఏదైనా ఒక జీవజాతిలో పరిణామం జరిగింది అని అంటే అది కేవలం మార్పును కాకుండా మార్పుకు దారితీసిన అంశాలనుకూడా తెలియజేస్తుంది.,To say that an organism has evolved means not only the change but also the factors that led to the change.,tides
అయితే ఈ పరిణామం ఎలా చోటుచేసుకుంటుంది?,But how does this evolution take place?,ted
"ఇది నెమ్మదిగా, స్థిరంగా జరుగుతుందా లేక హఠాత్తుగా ఉన్నపలంగా జరుగుతుందా?","Does it happen slowly, steadily or suddenly?",indic2012
పరిణామం కొత్త జీవులను లేదా భిన్నమైన వాటిని రూపొందించడానికి మాత్రమే పరిమితమైనదా?,Is evolution limited to creating new organisms or different ones?,ted
“ప్రత్యుత్పత్తి” పాఠంలో ప్రత్యుత్పత్తి ప్రక్రియ ద్వారా సాధారణంగా పుట్టే జీవులు తల్లిదండ్రుల లక్షణాలను పొందడంతోపాటూ కొన్ని కొత్త లక్షణాలు కూడా పెంపొందుతాయని నేర్చుకున్నాం కదా!,"In the lesson “Reproduction” we have learned that through the process of reproduction, normally born organisms get the characteristics of their parents and some new characteristics are also developed!",ted
తరువాత జరిగే ఇలాంటి కొత్త మార్చులే జీవరాశిలో వచ్చే గుర్తింపదగిన కొత్త లక్షణాలకు దారితీస్తాయి.,"It is these new changes that subsequently occur that lead to new, recognizable traits in the organism.",indic2012
ఆ కొత్త లక్షణాలు ఎలా ఉత్పన్నమవుతాయి?,How do those new features arise?,ted
ఆ పరిణామంలో తల్లిదండ్రుల నుండి వారసత్వంగా వస్తాయా?,Is that evolution inherited from parents?,indic2012
ఆ పరిణామంలో వీటి పాత్ర ఏమైనా ఉంటుందా?,Will they have any role in that development?,indic2012
ఈ పాఠంలో పై విషయాలన్నింటిని చర్చిద్దాం.,Let's discuss all the above in this lesson.,tides
కొత్త లక్షణాలు - వైవిధ్యాలు (Characters and variations),New Features - Characters and variations,indic2012
ఒక్కసారి మీ కుటుంబం గురించి ఆలోచించండి.,Think about your family.,ted
మీ అమ్మానాన్నలకు నీకు ఏ ఏ లక్షణాలలో పోలికలున్నాయి?,What traits do you have in common with your grandparents?,indic2012
మీరు గమనించిన అంశాలతో పట్టిక రాయండి.,Write a table with your observations.,ted
"కంటిపాప రంగు, జుట్టు ఆకారం, రంగు, ముక్కు ముఖం, చెవి తమ్మె, బొటనవేలి ముద్ర, ఇలా మీరు ","Eye color, hair shape, color, nose face, ear shape, thumb impression, you",tides
| (176) sass అనువంశికత,| (176) sass Inheritance,ted
గుర్తించగలిగినన్ని అంశాలతో జాబితా రూపొందిచండి.,Make a list with as many items as you can identify.,tides
"పట్టిక ఒకవైపు నీలో ఉన్న లక్షణాలు మరొకవైపు అవి అమ్మను పోలి ఉన్నాయా, నాన్నను పోలి ఉన్నాయా రాయండి.","On one side of the table, write the characteristics you have in yourself, on the other side, whether they are similar to your mother or father.",ted
ఆ ఎన్ని లక్షణాలలో నీవు మీ తల్లిదండ్రులను పోలి ఉన్నావు?,In how many of those traits do you resemble your parents?,ted
ఆ మీ తల్లిదండ్రుల ఇరువురిలో లేకుండా నీలో మాత్రమే కనిపిస్తున్న పోలికలు ఏవైనా ఉన్నాయా?,Are there any similarities between both of your parents that you see only in you?,tides
అవి ఏమిటి?,what are they,ted
oe అవి ఎక్కడి నుండి వచ్చి ఉంటాయని నీవు భావిస్తున్నావు?,oe Where do you think they come from?,ted
ఈ విషయాల గురించి తెలుసుకోడానికి మరొక కృత్యం చేద్దాం.,Let's do another work to know about these things.,tides
కా కృత్యం-1 _,Ka Kritya-1 _,tides
"నీలో ఉన్న లక్షణాలను మీ అమ్మమ్మ, నానమ్మ, తాతయ్యలతో పోల్చి పట్టికలో రాయండి.","Compare your characteristics with those of your grandmother, grandfather and grandfather in the table.",ted
పట్టిక-1,Table-1,indic2012
రింగుల జుట్టు నానమ్మ,Ringula's hair grandmother,tides
"* నీలోనూ, మీ అమ్మలోనూ, మీ అమ్మమ్మలోనూ కనివించే లక్షణాలు ఏమిటి?","* What traits are found in you, your mother and your grandmother?",indic2012
eo నీలో మీ అమ్మమ్మలో 50203 లక్షణాలు ఏవి?,eo What 50203 traits do you have in your grandmother?,tides
6 మీ అమ్మమ్మ నుండి ఆ లక్షణాలు నీకు ఎలా నంక్రమించాయని నీవు అనుకుంటున్నావు?,6 How do you think you inherited those traits from your grandmother?,tides
"eo నీలోనూ, మీ అమ్మలోనూ ఉండి మీ అమ్మమ్మలో కనిపించని లక్షణాలు ఏవైనా ఉన్నాయా?",eo Are there any traits that you and your mother have that your grandmother did not?,tides
o మీ అమ్మ ఈ లక్షణాలను ఎక్కడినుండి పొంది ఉంటుందని నీవు అనుకుంటున్నావు?,o Where do you think your mother got these traits from?,tides
క శా క అ క క కి,Ka sha ka a ka ka ki,indic2012
మీ తరగతిలో మీ స్పేహితులలో ఎవరైనా ఆరుగురిని ఎంపిక చేసుకోండి.,Choose any six of your friends in your class.,ted
కింది పట్టికలో ఇచ్చిన లక్షణాలను పరిశీలించి రాయండి.,Check and write down the properties given in the table below.,indic2012
పట్టిక-2,Table-2,tides
ఇ,e,indic2012
ఆ మీలోని లక్షణాలను ఎవరైనా ఒక స్నేహితునితో పోల్చండి.,Compare those qualities in yourself with a friend.,tides
"ఎన్ని లక్షణాలు మీలో, మీ స్పేహితునిలో ఒకటిగా ఉన్నట్లు గమనించారు?",How many traits have you and your friend noticed?,ted
ఆంధ్రప్రదేశ్‌ ప్రభుత్వం వారిచే ఉచిత పంపిణీ [ 177) _____,Free distribution by Government of Andhra Pradesh [ 177) _____,tides
* మీలోని లక్షణాలు ఎక్కువగా మీ తల్లిదండ్రులను పోలి ఉంటాయా?,* Are your traits similar to those of your parents?,tides
మీ స్నేహితులను పోలి ఉంటాయా?,Are your friends similar?,ted
"* మీరుమీ తల్లిదండ్రులకంటే భిన్నంగా ఉండడం, మీ స్నేహితులకంటే భిన్నంగా ఉండడం ఒకటే అని భావిస్తున్నారా?",* Do you think being different from your parents and being different from your friends are the same thing?,tides
ఎందుకు?,why,ted
పటం-1: అవయవాలలో వైవిధ్యాలు,Figure-1: Variations in organs,indic2012
దగ్గర సంబంధంగల సమూహాలకు చెందిన జీవుల మధ్యగల లక్షణాలలో ఉండే భేదాలను వైవిధ్యాలు అంటారు.,Differences in characteristics between organisms belonging to closely related groups are called variations.,ted
వంశపారంపర్యంగా వచ్చిన కొత్త లక్షణం కూడా అప్పుడప్పుడు వైవిధ్యానికి లోనవవచ్చు.,A new inherited trait may also undergo variation from time to time.,ted
ఆ ఈ వైవిధ్యాలన్నీ గుర్తించగలిగేలా ఉంటాయా?,Are all these variations detectable?,indic2012
కొన్ని లక్షణాలు పైకి కనిపించకుండా దాగుకొని మనం గుర్తించలేని విధంగా కూడా ఉంటాయి.,Some symptoms are hidden from the surface and we don't even notice them.,ted
(9వ తరగతిలో వైవిధ్య మరియు వర్గీకరణ అనే పాఠంలోని ఒకేరకమైన రెండు మొక్కల 2 మీరు చేసిన కృత్యాన్ని గుర్తుతెచ్చుకోండి. ),(Recall your work on two identical plants 2 in the lesson on diversity and classification in class 9. ),tides
#ERROR!,#ERROR!,tides
బఠాణి లేదా చిక్కుడు కాయలోని విత్తనాలను పరిశీలించండి.,Examine the seeds in a pea or legume.,ted
"ఒక నిర్ణయానికి రావడానికి (సామాన్యీకరణ కోసం) ఎక్కువ కాయలను, విత్తనాలను పరిశీలించండి.",Examine more pods and seeds to come to a conclusion (for generalization).,tides
ఆ ఒకే రకంగా ఉన్న రెండు విత్తనాలను గమనించగలిగారా?,Notice those two identical seeds?,tides
* ఇవి వేరుగా ఉండడానికి కారణమేమి? (విత్తనాలు అండాలనుండి ఏర్పడతాయని మీరు ప్రత్యుత్తృత్తి పాఠంలో నేర్చుకున్నారు) ఆ వైవిధ్యాలు ఎందువల్ల ముఖ్యమైనవిగా భావించాలి?,* What makes them different? (You learned in the answer lesson that seeds develop from ovules) Why are those variations important?,tides
ఒకజీవికి లేదా జనాభాకు వైవిధ్యాలు ఏవిధంగా ఉపయోగం కలిగిస్తాయి.,How do variations benefit an organism or population?,tides
"శతాబ్దాలుగా వైవిధ్యాలను గురించి, ప్రకృతిలో వాటి పాత్రను గురించి ఎందరో జీవ శాస్త్రవేత్తలు అధ్యయనం చేస్తూనే ఉన్నారు.",Many biologists have been studying diversity and its role in nature for centuries.,tides
ముఖ్యంగా 19వ శతాబ్దం మొదట్లో శాస్త్రవేత్తలు ఎంతో (శ్రమించారు.,"Especially in the early 19th century, scientists worked hard.",ted
వారి కృషి ఫలితంగానే వైవిధ్యాలు ఎలా చోటుచేసుకుంటున్నాయి అవి తరువాతి తరాలకు ఎలా అందించబడుతున్నాయనేది మనం తెలుసుకోగలిగాం.,"As a result of their hard work, we can see how diversity is created and passed on to future generations.",tides
19వ శతాబ్దంలోనే ఈ విషయంలో ఎన్నో ప్రయోగాత్మక బుజువులను అందించిన గొప్ప శా(స్త్రవేత్త (AKG జోహాన్‌ మెండల్‌.,"In the 19th century itself, the great scientist (AKG Johann Mendel) who provided many experimental ideas in this regard.",indic2012
అతని కృషి గురించి అధ్యయనం చేద్దాం.,Let us study about his work.,tides
వైవిధ్యాలు ఎలా ఏర్పడతాయి?,How do variations occur?,tides
అవి ఏవిధంగా తరువాతి తరాలకు అందించబడతాయని,How they will be passed on to future generations,ted
| (178) sass అనువంశికత,| (178) sass Inheritance,indic2012
తెలుసుకోవడం కోసం1857వ సంవత్సరంలో (ANE జోహాన్‌ మెండల్‌ పరిశోధనలు ప్రారంభించారు.,"To find out, in the year 1857 (ANE) Johann Mendel began research.",indic2012
మెండల్‌ ఆస్ట్రియా దేశానికి చెందిన మత గురువు.,Mendel was an Austrian religious teacher.,indic2012
ఈయన తన ప్రయోగాలను చేయడానికి ప్రయోగశాలనో లేదా విశ్వవిద్యాలయాన్నో ఎన్నుకోలేదు.,He did not choose a laboratory or a university to conduct his experiments.,tides
తన చర్చి తోటలోనే తన ప్రయోగాలను చేస్తుండేవాడు.,He used to do his experiments in his church garden.,indic2012
"ఏడు సంవత్సరాలు కృషి చేసి తన bY (ప్రయోగాల సమాచారాన్ని, పరిశోధనా సారాన్ని క్షుణ్ణంగా వివరిస్తూ వ్యాసంగా రాసి ప్రచురించాడు.","After working for seven years, he wrote and published an article detailing the details of his bY (experiments and research).",indic2012
మెండల్‌ అనేక మొక్కలను పరిశీలించిన తరువాత బఠానీ మొక్కలు ప్రయోగాలకు చాలా అనుకూలమని నిర్దారణకు వచ్చాడు.,"After examining many plants, Mendel came to the conclusion that pea plants were very suitable for experiments.",ted
తాను పరిశీలించిన అంశాలను గురించి తనను,He told himself about the things he had examined,indic2012
